,band_name,fans,formed,origin,style
1901,Volumes,21,2009,USA,Math
1902,Árstíðir Lífsins,20,2008,Iceland,Black
1903,Advent Sorrow,20,2010,Australia,Symphonic black
1904,Amogh Symphony,20,2003,India,Progressive death
1905,Ancient Ascendant,20,2005,United Kingdom,Death
1906,Annotations Of An Autopsy,20,2006,United Kingdom,Deathcore
1907,Attacker,20,1983,USA,Us power
1908,Canaan,20,1996,Italy,Doom
1909,Carcariass,20,1991,France,Technical death
1910,Centinex,20,1990,Sweden,Death
1911,Ceremonial Oath,20,1988,Sweden,Melodic death
1912,Circle Of Dead Children,20,1998,USA,Grindcore
1913,Convulse,20,1988,Finland,Death
1914,Crystalic,20,1998,Finland,Progressive
1915,Doom,20,1987,United Kingdom,Crust
1916,Enter Shikari,20,1999,United Kingdom,Metalcore
1917,Flourishing,20,2009,USA,Technical death
1918,Forgotten Tales,20,1999,Canada,Power
1919,Garden Of Shadows,20,1995,USA,Melodic death
1920,Grayceon,20,2005,USA,Progressive
1921,Hackneyed,20,2006,Germany,Death
1922,I Killed The Prom Queen,20,2000,Australia,Metalcore
1923,Infinite Tales,20,2007,Ukraine,Gothenburg
1924,Insision,20,1997,Sweden,Brutal death
1925,iwrestledabearonce,20,2007,USA,Avantgarde metalcore
1926,Karlahan,20,2006,Spain,Melodic death
1927,Karma To Burn,20,1994,USA,Stoner
1928,Krieg,20,1995,USA,Black
1929,Lamented Souls,20,1991,Norway,Doom
1930,Landmine Marathon,20,2004,USA,Death
1931,Malignancy,20,1992,USA,Brutal death
1932,Myrkskog,20,1993,Norway,Black
1933,Necros Christos,20,2001,Germany,Black
1934,Netherbird,20,2004,Sweden,Melodic black
1935,November-7,20,2005,Switzerland,Symphonic
1936,Octavia Sperati,20,2000,Norway,Gothic
1937,Old Man Gloom,20,1999,USA,Post-metal
1938,Pokolgép,20,1980,Hungary,Heavy
1939,Pressure Points,20,2004,Finland,Progressive
1940,Profetus,20,2006,Finland,Funeral doom
1941,Psychonaut 4,20,2010,Georgia,Depressive black
1942,Raubtier,20,2008,Sweden,Industrial
1943,Ride The Sky,20,2006,Sweden,Progressive power
1944,Ripping Corpse,20,1987,USA,Death
1945,Steve Harris,20,2012,United Kingdom,Heavy
1946,Sunrise,20,2003,Ukraine,Power
1947,Thank You Scientist,20,2009,USA,Progressive rock
1948,The Gates Of Slumber,20,1998,USA,Doom
1949,Vordven,20,1996,Finland,Atmospheric black
1950,Abyssic Hate,19,1993,Australia,Black
1951,Ador Dorath,19,1997,Czech Republic,Gothic black
1952,Agora,19,1995,Mexico,Progressive
1953,Alkerdeel,19,2005,Belgium,Black
1954,Arion,19,2011,Finland,Symphonic
1955,Arizmenda,19,2007,USA,Psychedelic black
1956,Arrayan Path,19,2011,USA,Power
1957,Ash Borer,19,2008,USA,Black
1958,Atargatis,19,1997,Germany,Symphonic gothic
1959,Battleroar,19,2000,Greece,Heavy
1960,Besatt,19,1991,Poland,Black
1961,Blood Tsunami,19,2004,Norway,Thrash
1962,Bullet,19,2001,Sweden,Heavy
1963,Cirith Gorgor,19,1993,Netherlands,Black
1964,Coprofago,19,1993,Chile,Technical thrash
1965,Darksun,19,2002,Spain,Symphonic power
1966,Dawnbringer,19,1995,USA,Blackened heavy
1967,Den Saakaldte,19,2006,Norway,Black
1968,Device,19,2012,USA,Alternative
1969,Dezperadoz,19,1999,Germany,Heavy
1970,Empyrios,19,2001,Italy,Progressive thrash
1971,FEJD,19,2001,Sweden,Folk
1972,Filter,19,1993,USA,Industrial rock
1973,Fortíð,19,2002,Iceland,Black
1974,Guardians Of Time,19,1997,Norway,Power
1975,Hangar,19,1997,Brazil,Power
1976,Heol Telwen,19,1999,France,Celtic black
1977,Krypt,19,2006,Norway,Black
1978,Machine Men,19,1998,Finland,Heavy
1979,Marionette,19,2005,Sweden,Melodic death
1980,Meliah Rage,19,1987,USA,Power
1981,Minas Morgul,19,1997,Germany,Pagan black
1982,Mystic Circle,19,1992,Germany,Melodic black
1983,Narjahanam,19,2004,Bahrain,Death
1984,Norma Jean,19,1997,USA,Metalcore
1985,Pryapisme,19,2000,France,Avantgarde
1986,Revenge,19,2000,Canada,Black
1987,Scanner,19,1986,Germany,Power
1988,Seeds Of Iblis,19,2011,Iraq,Black
1989,Seraphim,19,2001,China,Power
1990,Sex Machineguns,19,1989,Japan,Power
1991,Skylark,19,1994,Italy,Power
1992,Striborg,19,1994,Australia,Ambient black
1993,Sun Caged,19,1999,Netherlands,Progressive
1994,Sun Devoured Earth,19,2009,Latvia,Atmospheric black
1995,Teramaze,19,1993,Australia,Progressive
1996,The Bishop Of Hexen,19,1994,Israel,Symphonic black
1997,The Blinded,19,2000,Sweden,Gothenburg
1998,The Murder Of My Sweet,19,2007,Sweden,Symphonic
1999,Trist,19,2000,Germany,Ambient black
2000,Usurper,19,1993,USA,Black
2001,What Mad Universe,19,2008,France,Post-
2002,Öxxö Xööx,18,2005,France,Doom
2003,Akelei,18,2006,Netherlands,Atmospheric doom
2004,Alda,18,2007,USA,Atmospheric black
2005,Appearance Of Nothing,18,2004,Switzerland,Progressive
2006,Arven,18,2006,Germany,Melodic power
2007,Battlesoul,18,2007,Canada,Folk
2008,Beto Vázquez Infinity,18,2000,Argentina,Symphonic
2009,Betraying The Martyrs,18,2008,France,Progressive deathcore
2010,Borgne,18,1998,Switzerland,Atmospheric black
2011,Bran Barr,18,1995,France,Celtic folk
2012,Cloudscape,18,2001,Sweden,Progressive
2013,Cryptic Slaughter,18,1984,USA,Crossover thrash
2014,Crystallion,18,2003,Germany,Power
2015,Dark Flood,18,1996,Finland,Melodic death
2016,Darkened Nocturn Slaughtercult,18,1997,Germany,Black
2017,Deathhammer,18,2005,Norway,Thrash
2018,Eden's Curse,18,2006,United Kingdom,Hard rock
2019,Evil Masquerade,18,2003,Denmark,Power
2020,Farshid Arabi,18,2003,Iran,Heavy
2021,Funeral Mourning,18,2005,Australia,Black
2022,George Kollias,18,2008,Greece,Death
2023,Ghost Ship Octavius,18,2012,USA,Progressive
2024,Hands Of Despair,18,2008,Canada,Progressive black
2025,Hanoi Rocks,18,1979,Finland,Glam rock
2026,Holocaust,18,1977,United Kingdom,New wave of british heavy
2027,Inactive Messiah,18,2001,Greece,Industrial death
2028,Infernäl Mäjesty,18,1986,Canada,Thrash
2029,Khemmis,18,2012,USA,Doom
2030,Lonewolf,18,1992,France,Heavy
2031,Mind's Eye,18,1992,Sweden,Progressive
2032,Mortad,18,2010,United Kingdom,Death
2033,My Shameful,18,1999,Finland,Death doom
2034,My Sleeping Karma,18,2005,Germany,Psychedelic rock
2035,Nazgul,18,1996,Italy,Black
2036,Nero Di Marte,18,2007,Italy,Extreme progressive
2037,New Keepers Of The Water Towers,18,2009,Sweden,Doom
2038,Okera,18,2006,Australia,Melodic death
2039,Priestess,18,2003,Canada,Hard rock
2040,Profane Omen,18,1999,Finland,Groove thrash
2041,Red Harvest,18,1989,Norway,Thrash
2042,Reflexion,18,1996,Finland,Suomi
2043,Resurrection,18,1990,USA,Death
2044,Semargl,18,1997,Ukraine,Melodic black
2045,Skitliv,18,2005,Norway,Black
2046,Son Of Aurelius,18,2009,USA,Technical death
2047,Sworn,18,2005,Norway,Melodic black
2048,The Atlas Moth,18,2007,USA,Stoner
2049,The Forsaken,18,1997,Sweden,Melodic death
2050,Ultra Vomit,18,1999,France,Grindcore
2051,Verjnuarmu,18,2001,Finland,Melodic death
2052,Vertigo Steps,18,2007,Portugal,Progressive
2053,Vomit The Soul,18,1999,Italy,Brutal death
2054,Wayfarer,18,2012,USA,Atmospheric black
2055,Wovenwar,18,2013,USA,Alternative
2056,Accu§er,17,1986,Germany,Thrash
2057,Almanac,17,2015,Germany,Symphonic power
