,band_name,fans,formed,origin,style
3777,Wild Throne,4,2013,USA,Progressive
3778,Winterlong,4,1998,Sweden,Power
3779,Wolfsbane,4,1984,United Kingdom,Glam
3780,Wormreich,4,2009,USA,Black
3781,Worms Of Sabnock,4,2003,United Kingdom,Melodic black
3782,Wound,4,2011,Germany,Death
3783,Xibalba (USA),4,2007,USA,Death
3784,Xul,4,2008,Canada,Blackened death
3785,Xysma,4,1988,Finland,Grindcore
3786,Yonder Realm,4,2009,USA,Folk
3787,Église,3,2011,Denmark,Post-metal
3788,(V.E.G.A.),3,1998,Italy,Industrial black
3789,2 Ton Predator,3,1993,Sweden,Thrash
3790,24-7 Spyz,3,1986,USA,Alternative
3791,A Pregnant Light,3,2009,USA,Black
3792,A.I.(d),3,2010,France,Djent
3793,A.M.S.G.,3,2007,Canada,Black
3794,Abaddon Incarnate,3,1994,Ireland,Grindcore
3795,Abaton,3,2009,Italy,Doom
3796,Ad Inferna,3,2000,France,Symphonic black
3797,Aenygmist,3,2007,Canada,Melodic black
3798,Ah Ciliz,3,2008,USA,Atmospheric black
3799,Aleph,3,1998,Italy,Death
3800,AnachroniA,3,2000,France,Gothic
3801,Anal Stench,3,2001,Poland,Death
3802,Angmar,3,2002,France,Black
3803,Anima Damnata,3,1996,Poland,Black
3804,Antipope,3,2004,Finland,Black
3805,Aphonic Threnody,3,2012,United Kingdom,Funeral doom
3806,Apostle Of Solitude,3,2004,USA,Doom
3807,Archon,3,2008,USA,Psychedelic doom
3808,As We Fight,3,2001,Denmark,Metalcore
3809,Asmodeus (AUT),3,1996,Austria,Black
3810,Assailant,3,2004,Sweden,Progressive power
3811,At The Lake,3,2005,Poland,Symphonic folk
3812,Atrament,3,2014,USA,Black
3813,Atrorum,3,1998,Germany,Avantgarde black
3814,Auspex,3,2001,France,Power
3815,Avenger (Ger),3,1984,Germany,Speed
3816,Baring Teeth,3,2007,USA,Progressive death
3817,Barishi,3,2010,USA,Progressive
3818,Bastard Sapling,3,2007,USA,Black
3819,Before Eden,3,1998,Brazil,Progressive power
3820,Before The Harvest,3,2011,Australia,Symphonic deathcore
3821,Beyond The Dust,3,2010,France,Progressive
3822,Black Hole Generator,3,2006,Norway,Industrial black
3823,Black Star Riders,3,2012,USA,Hard rock
3824,Blessed Death,3,1984,USA,Thrash
3825,Blind Fury,3,1983,United Kingdom,New
3826,Blockheads,3,1992,France,Grindcore
3827,Bloodmoon,3,2010,USA,Progressive sludge
3828,Brothers Of The Sonic Cloth,3,2007,USA,Doom
3829,Brutart,3,2000,Slovenia,Doom
3830,Buried At Sea,3,2001,USA,Drone doom
3831,By Night,3,1999,Sweden,Thrash
3832,Calvarium,3,2001,Finland,Black
3833,Cancerous Womb,3,2008,United Kingdom,Death
3834,Celestial Decay,3,2008,Sweden,Symphonic power
3835,Centimani,3,2006,USA,Melodic death
3836,Chasse-Galerie,3,2007,Canada,Black
3837,Chemical Breath,3,1990,Belgium,Technical death
3838,Church Bizarre,3,2001,Denmark,Death
3839,Church Of Void,3,2010,Finland,Doom
3840,Circle Of Dust,3,1988,USA,Industrial
3841,Clairvoyants,3,2001,Italy,Heavy
3842,Cognizance,3,2012,United Kingdom,Melodic death
3843,Collapse 7,3,1992,Austria,Melodic death
3844,Contrarian,3,2014,USA,Progressive death
3845,Corrupt Moral Altar,3,2012,United Kingdom,Grindcore
3846,Cowards,3,2011,France,Black
3847,Crescent Shield,3,2000,USA,Power
3848,Crimsonfire,3,1997,Australia,Power
3849,Crowhurst,3,2011,USA,Experimental black
3850,Crowned,3,2010,Australia,Black
3851,Cruadalach,3,2008,Czech Republic,Folk
3852,Curse,3,1995,Iceland,Black
3853,Cyanide Serenity,3,2008,United Kingdom,Melodic metalcore
3854,Cyclone,3,1980,Belgium,Thrash
3855,Danse Macabre,3,1995,Netherlands,Gothic
3856,Dark Domination,3,1996,Latvia,Black
3857,Dawn Of Winter,3,1990,Germany,Doom
3858,Dawn On Sedna,3,2013,Italy,Post-metal
3859,De Arma,3,2009,Sweden,Black
3860,Dead Instrument,3,2007,Denmark,Grindcore
3861,Death Strike,3,1984,USA,Death
3862,Deathraiser,3,2006,Brazil,Thrash
3863,Decomposed,3,1990,United Kingdom,Death
3864,Derkéta,3,1988,USA,Death doom
3865,Desolation Angels,3,1981,United Kingdom,New wave of british heavy
3866,Destroying Divinity,3,2001,Czech Republic,Death
3867,DinUmbr?,3,1998,Romania,Death doom
3868,Dissolution,3,2003,Canada,Melodic death
3869,Dol Theeta,3,2008,Greece,Electronic symphonic
3870,Down Among The Dead Men,3,2013,Sweden,Death
3871,Duff McKagan's Loaded,3,1999,USA,Hard rock
3872,Dungortheb,3,1996,France,Technical death
3873,Dynazty,3,2007,Sweden,Heavy
3874,Dyslesia,3,1986,France,Melodic power
3875,Ecferus,3,2014,USA,Black
3876,Echo Of Dalriada,3,1998,Hungary,Folk
3877,Eden Weint Im Grab,3,2004,Germany,Gothic
3878,Edenfall,3,2009,United Kingdom,Gothic doom
3879,Effloresce,3,2008,Germany,Progressive
3880,Ellipsis,3,1995,France,Symphonic progressive
3881,Emergency Gate,3,1996,Germany,Power
3882,Eternal Majesty,3,1995,France,Black
3883,Ethereal Blue,3,2002,Greece,Atmospheric death
3884,Evidence One,3,2001,Germany,Melodic hard rock
3885,Ewigkeit,3,1994,United Kingdom,Black
3886,Executer,3,1985,Brazil,Thrash
3887,Exhale,3,2004,Sweden,Grindcore
3888,Exmortem,3,1992,Denmark,Death
3889,Face Of Oblivion,3,2009,USA,Technical death
3890,Falaise,3,2015,Italy,Atmospheric black
3891,Fall Of Empyrean,3,2000,USA,Death doom
3892,Fate,3,1984,Denmark,Hard rock
3893,Feridea,3,2012,Finland,Symphonic
3894,Feto In Fetus,3,2004,Poland,Deathgrind
3895,Finnugor,3,2001,Hungary,Symphonic black
3896,Fogland,3,1997,Romania,Folk
3897,Forgive-Me-Not,3,1996,Russian Federation,Gothic doom
3898,Fright Night,3,2005,Russian Federation,Gothic rock
3899,Geïst,3,2005,Germany,Black
3900,Generation Kill,3,2009,USA,Crossover thrash
3901,Geoff Tate's Queensrÿche,3,2012,USA,Progressive
3902,Gillan,3,1978,United Kingdom,Hard rock
3903,Goathemy,3,1995,Finland,Melodic black
3904,God.Fear.None,3,2004,Greece,Melodic death
3905,Graveshadow,3,2012,USA,Symphonic
3906,Graveyard (ESP),3,2007,Spain,Death
3907,Griftegård,3,2005,Sweden,Doom
3908,Grima,3,2014,Russian Federation,Atmospheric black
3909,Grimfist,3,2001,Norway,Black
3910,Gurd,3,1994,Switzerland,Thrash
3911,Hacavitz,3,2003,Mexico,Blackened death
3912,Haeres,3,2009,Canada,Black
3913,Hardingrock,3,2005,Norway,Folk
3914,Havoc Unit,3,2005,Finland,Industrial
3915,Hell:On,3,2005,Ukraine,Thrash
3916,Hellfueled,3,1998,Sweden,Heavy
3917,Hexis,3,2010,Denmark,Black
3918,High Priest Of Saturn,3,2011,Norway,Doom
3919,High Spirits,3,2009,USA,Hard rock
3920,Horizon Ablaze,3,2008,Norway,Death
3921,Houwitser,3,1997,Netherlands,Death
3922,Hybris,3,2010,United Kingdom,Progressive thrash
3923,Hyems,3,2000,Germany,Melodic black
3924,Ian Gillan,3,1982,United Kingdom,Hard rock
3925,Implant Pentru Refuz,3,1995,Romania,Hardcore
3926,In Twilight's Embrace,3,2005,Poland,Metalcore
3927,Infera Bruo,3,2009,USA,Progressive black
3928,Inspell,3,2003,Bulgaria,Symphonic black
3929,Iron Hearse,3,2002,United Kingdom,Doom
3930,Jaded Star,3,2013,Greece,Melodic power
3931,Kenziner,3,1997,Finland,Power
3932,Kinetik,3,2007,USA,Industrial
3933,Kowloon Walled City,3,2007,USA,Sludge
3934,L'Esprit Du Clan,3,1992,France,Metalcore
3935,Last Sacrament,3,2005,USA,Death
3936,Laster,3,2012,Netherlands,Atmospheric black
3937,Latitude Egress,3,2007,Germany,Black
3938,Lechery,3,2004,Sweden,Heavy
3939,Lefay,3,1997,Sweden,Power
3940,Let Me Dream,3,1989,Finland,Gothic doom
3941,Level 10,3,2014,,Heavy
3942,Lightning,3,2002,Japan,Heavy
3943,Lorn,3,1999,Italy,Black
3944,Loss,3,2000,Sweden,Death
3945,Lothlöryen,3,2002,Brazil,Melodic power
3946,Love Lies Bleeding,3,1996,France,Atmospheric black
3947,Magister Templi,3,2008,Norway,Hard rock
3948,Majster Kat,3,2001,Slovak Republic,Thrash
3949,Makrothumia,3,1994,Romania,Death doom
3950,Mandator,3,1987,Netherlands,Speed
3951,Manitou,3,1997,Finland,Progressive heavy
3952,Maveth,3,2007,Finland,Blackened death
3953,Mayze,3,2012,Germany,Progressive
3954,Medico Peste,3,2010,Poland,Black
3955,Mefisto,3,1984,Sweden,Black
3956,Menace,3,2013,United Kingdom,Progressive
3957,Mhorgl,3,2004,Australia,Black
3958,Middian,3,2005,USA,Doom
3959,Mind Odyssey,3,1993,Germany,Progressive
3960,Misery Inc.,3,2001,Finland,Gothic
3961,Morbosidad,3,1993,USA,Black
3962,Moth,3,2011,USA,Melodic death
3963,Mother Witch & Dead Water Ghosts,3,2013,Ukraine,Doom
3964,Mystic Force,3,1986,USA,Us power
3965,Nachtlieder,3,2008,Sweden,Black
3966,Necrite,3,2004,USA,Ambient black
3967,Nevaloth,3,2008,Slovak Republic,Atmospheric black
3968,Nevolution,3,2004,Iceland,Melodic death
3969,Night Magic,3,2006,USA,Doom
3970,No-Big-Silence,3,1989,Estonia,Death
3971,Noisear,3,1999,USA,Grindcore
3972,Nonsun,3,2011,Ukraine,Drone doom
3973,Norska,3,2009,USA,Doom
3974,Ocean Chief,3,2001,Sweden,Doom
3975,Oh Sleeper,3,2006,USA,Metalcore
3976,Ol Drake,3,2013,United Kingdom,Heavy
3977,Omen (HUN),3,1990,Hungary,Thrash
3978,Omnerod,3,2009,Belgium,Extreme progressive
3979,Ordog,3,2005,Finland,Doom
3980,Oruga,3,2010,France,Doom
3981,Ostrogoth,3,1976,Belgium,Heavy
3982,Over Your Threshold,3,2006,Germany,Progressive death
3983,P.L.F.,3,1999,USA,Grindcore
3984,Persephone's Dream,3,1993,USA,Progressive rock
3985,Perzonal War,3,1996,Germany,Power
3986,Phantom Winter,3,2014,Germany,Sludge
3987,Planks,3,2007,Germany,Blackened sludge
3988,Plateau Sigma,3,2010,Italy,Doom
3989,Poison Sun,3,2010,Germany,Heavy
3990,Possession,3,2012,Belgium,Black
3991,Posthum,3,2004,Norway,Progressive black
3992,Primal Rock Rebellion,3,2011,United Kingdom,Heavy
3993,Profusion,3,2001,Italy,Progressive
3994,Prohod,3,2012,Romania,Atmospheric black
3995,Project Pain,3,2011,Netherlands,Thrash
3996,Queiron,3,1995,Brazil,Brutal death
3997,Quest Of Aidance,3,2004,Sweden,Melodic death
3998,Ravager,3,1997,Mexico,Brutal death
3999,Reasons Behind,3,2010,Italy,Symphonic power
4000,Rendezvous Point,3,2010,Norway,Progressive
4001,Resurrection Kings,3,2015,USA,Hard rock
4002,Revolted Masses,3,2008,Greece,Progressive death
4003,Rippikoulu,3,1990,Finland,Death
4004,RoadkillSoda,3,2011,Romania,Sludge
4005,Rosae Crucis,3,1990,Italy,Heavy
4006,Sadness,3,1989,Switzerland,Death doom
4007,Samothrace,3,2006,USA,Doom
4008,Sanctimony,3,1994,Latvia,Death
4009,Saturnalia Temple,3,2006,Sweden,Doom
4010,Sear,3,2001,Finland,Black
4011,Season's End,3,1998,United Kingdom,Gothic
4012,Sektemtum,3,2009,France,Black
4013,Self-Inflicted Violence,3,2007,United Kingdom,Black
4014,Sengir,3,1995,Belgium,Gothic
4015,Sepia Dreamer,3,2003,Sweden,Progressive
4016,Septic Mind,3,2006,Russian Federation,Funeral doom
4017,Sethian,3,1998,Finland,Hard rock
4018,Sexcrement,3,2005,USA,Death
4019,Shadow Host,3,1993,Russian Federation,Power
4020,Shadowdances,3,1995,Lithuania,Doom
4021,Sheavy,3,1993,Canada,Doom
4022,Shining Fury,3,2001,Italy,Power
4023,Shturm,3,2003,Russian Federation,Black
4024,Sideburn,3,1997,Sweden,Stoner
4025,Silent Voices,3,1995,Finland,Progressive
4026,Sinister Realm,3,2008,USA,Heavy
4027,Skeletal Remains,3,2011,USA,Death
4028,Smallman,3,2001,Bulgaria,Folk
4029,Smargroth,3,2006,Slovenia,Black
4030,Sorathian Dawn,3,2009,Australia,Black
4031,Sororicide,3,1990,Iceland,Death
4032,Sorrow Plagues,3,2014,United Kingdom,Atmospheric black
4033,Soul Takers,3,1998,Italy,Progressive
4034,Soulfractured,3,1999,USA,Progressive
4035,Spazmosity,3,1994,Sweden,Black
4036,Squealer,3,1986,Germany,Heavy
4037,Status Abnormis,3,2010,Finland,Death
4038,Stigma,3,2000,Italy,Melodic deathcore
4039,Stillborn (POL),3,1997,Poland,Black
4040,Stone Gods,3,2006,United Kingdom,Hard rock
4041,Sulphur,3,1999,Norway,Black
4042,Sumerlands,3,2014,USA,Heavy
4043,Svartelder,3,2015,Norway,Black
4044,Syrens Call,3,1997,France,Progressive
4045,The Crown Of Yamhad,3,2015,Syrian Arab Republic,Atmospheric folk
4046,The Deathtrip,3,2007,Norway,Black
4047,The Enochian,3,2007,Greece,Melodic black
4048,The Lumberjack Feedback,3,2008,France,Doom
4049,The Order Of Israfel,3,2012,Sweden,Doom
4050,The Ox,3,2012,Spain,Progressive
4051,The Seven Gates,3,2005,France,Death
4052,The Skull,3,2012,USA,Doom
4053,The Undivine,3,2005,Finland,Death
4054,The Weakening,3,2007,Sweden,Melodic death
4055,Thornafire,3,1998,Chile,Death
4056,Thought Machine,3,2009,Italy,Industrial
4057,Throneum,3,1996,Poland,Death
4058,Thunderbolt,3,2000,Norway,Heavy
4059,Thy Final Pain,3,2007,Germany,Death
4060,Thy Flesh Consumed,3,2001,Canada,Death
4061,Thy Primordial,3,1994,Sweden,Black
4062,Today I Caught The Plague,3,2007,Canada,Progressive metalcore
4063,Tonic Breed,3,2006,Norway,Groove thrash
4064,Torrens Conscientium,3,2009,Ukraine,Funeral doom
4065,Total Fucking Destruction,3,1999,USA,Grindcore
4066,Total Negation,3,2007,Germany,Black
4067,Totalt Jävla Mörker,3,1996,Sweden,Blackened hardcore
4068,Transient,3,2008,USA,Grindcore
4069,Triton Enigma,3,2005,Sweden,Melodic death
4070,Tsar Bomba,3,2011,France,Stoner
4071,Tungsten,3,2011,USA,Progressive rock
4072,Unsilence,3,1993,United Kingdom,Doom
4073,Uroboros,3,2012,Argentina,Death
4074,Urskumug,3,2001,Latvia,Black
4075,Vaee Solis,3,2014,Portugal,Blackened doom
4076,Valborg,3,2002,Germany,Progressive doom
4077,Valhall,3,1987,Norway,Black
4078,Valhalla,3,1997,Spain,Heavy
4079,Vandroya,3,2001,Brazil,Progressive power
4080,Vanisher,3,2010,USA,Metalcore
4081,Venomous Maximus,3,2010,USA,Doom
4082,Vermiform,3,2010,USA,Death
4083,Verminous,3,2002,Sweden,Death
4084,Vinterblot,3,2008,Italy,Melodic death
4085,Virus IV,3,2006,Belgium,Progressive power
4086,Viuda Negra,3,1996,Ecuador,Progressive
4087,Voice Of The Soul,3,2007,United Arab Emirates,Death
4088,Vorkreist,3,1999,France,Black
4089,Vulcain,3,1981,France,Heavy
4090,Waken Eyes,3,2013,Canada,Progressive rock
4091,Walk Through Fire,3,2008,Sweden,Sludge
4092,War,3,1995,Sweden,Black
4093,Warhorse,3,1996,USA,Doom
4094,We All Die (Laughing),3,2013,France,Avantgarde
4095,Whales And Aurora,3,2008,Italy,Atmospheric sludge
4096,Wijlen Wij,3,2002,Belgium,Funeral doom
4097,WildeStarr,3,2003,USA,Heavy
4098,Wintersoul,3,2006,United Kingdom,Black
4099,Witheria,3,1999,Finland,Thrash
4100,Wooden Stake,3,2010,USA,Death doom
4101,Wormwood,3,2014,Sweden,Atmospheric black
4102,Wotan,3,1988,Italy,Heavy
4103,WRVTH,3,2007,USA,Technical death
4104,X Wild,3,1992,Germany,Heavy
4105,XXX Maniak,3,2003,USA,Grindcore
4106,Yaotl Mictlan,3,1998,Mexico,Black
4107,Zealotry,3,2005,USA,Death
4108,ZX Spectrum,3,2001,Latvia,Death '
4109,???????,2,2011,Japan,Black
4110,ÆGES,2,2010,USA,Alternative
4111,Ænimus (SWE),2,2009,Sweden,Heavy
4112,Ö-Nirik,2,2006,France,Melodic death
4113,2 Wolves,2,2010,Finland,Industrial
4114,A Canorous Quintet,2,1993,Sweden,Melodic death
4115,Aabsynthum,2,2004,Romania,Black
4116,Abramis Brama,2,1997,Sweden,Stoner
4117,Abscession,2,2009,Sweden,Death
4118,Abstracter,2,2010,USA,Black
4119,Abyssaria,2,1998,Germany,Black
4120,Aclla,2,2007,Brazil,Heavy
4121,Adaliah,2,2008,USA,Deathcore
4122,Admiral Sir Cloudesley Shovell,2,2008,United Kingdom,Psychedelic hard rock
4123,Aftershok,2,1996,USA,Heavy
4124,Agro,2,1994,South Africa,Power
4125,Ahamkara,2,2013,United Kingdom,Atmospheric black
4126,Aion,2,2013,Switzerland,Black
4127,Altars,2,2005,Australia,Death
4128,Amnis Nihili,2,2008,Greece,Black
4129,Anal Blasphemy,2,2002,Finland,Black
4130,Ancestors Revenge,2,2008,Canada,Death
4131,ANJ,2,2003,Russian Federation,Alternative
4132,Antropophobia,2,2009,Russian Federation,Atmospheric black
4133,Apothecary,2,2012,USA,Death doom
4134,AraPacis,2,2003,Canada,Progressive
4135,Arctic Winter,2,1989,Germany,Power
4136,Arkhe,2,1995,Mexico,Technical death
4137,Arms,2,2012,USA,Math
4138,Asguard,2,1996,Belarus,Melodic death
4139,Ass To Mouth,2,2004,Poland,Brutal death
4140,Athelstan,2,2010,United Kingdom,Folk
4141,Atrium Noctis,2,2002,Germany,Melodic black
4142,Aus Der Transzendenz,2,2009,Austria,Black
4143,Axevyper,2,2009,Italy,Heavy
4144,Axewitch,2,1979,Sweden,Heavy
4145,Azoic,2,2011,Iceland,Black
4146,Azure Agony,2,2006,Italy,Progressive
4147,Barús,2,2015,France,Progressive death
4148,Barghest,2,2006,USA,Black
4149,Beaten To Death,2,2010,Norway,Grindcore
4150,Beholder (ITA),2,1998,Italy,Melodic heavy
4151,Belfegor,2,1998,Poland,Black
4152,Bellfast,2,1993,Japan,Celtic folk
4153,Beorn,2,2008,Russian Federation,Power
4154,Bill Ward,2,1989,United Kingdom,Hard rock
4155,Birds Of Prey,2,2006,USA,Sludge
4156,Birth Through Gore,2,2007,Greece,Brutal death
4157,Black Knight Symfonia,2,2008,Monaco,Gothic
4158,Blackfinger,2,2012,USA,Doom
4159,Blackwater,2,2011,USA,Heavy
4160,Blackwood,2,2015,Italy,Drone doom
4161,Blood Revolt,2,2010,Canada,Black
4162,Blood Stained Dusk,2,1998,USA,Black
4163,Boomerang,2,1996,Germany,Heavy
4164,Camel Of Doom,2,2001,United Kingdom,Doom
4165,Cap De Craniu,2,2007,Romania,Death
4166,Cardinals Folly,2,2007,Finland,Doom
4167,Carn Dûm,2,2012,Germany,Black
4168,Carnal Lust,2,1998,France,Brutal death
4169,Carpatica,2,2009,Romania,Pagan black
4170,Catarsis Incarne,2,2002,Costa Rica,Death
4171,Cavus,2,2008,Finland,Black
4172,Chaos Magic,2,2015,Chile,Symphonic
4173,Chaosfear,2,1999,Brazil,Thrash
4174,Chariot,2,1981,United Kingdom,New wave of british heavy
4175,Chariots Of The Gods,2,2007,Canada,Melodic death
4176,Christgrinder,2,2009,United Kingdom,Black
4177,Cloud Rat,2,2010,USA,Grindcore
4178,Coliseum,2,2003,USA,Hardcore
4179,Colombian Necktie,2,2010,USA,Sludge
4180,Common Grave,2,1999,Italy,Brutal death
4181,Communion Of Thieves,2,2010,USA,Black
4182,Coprolith,2,2001,Finland,Death
4183,Coven 13,2,1985,USA,Doom
4184,Crehated,2,2005,Italy,Death
4185,Cretura,2,2010,Norway,Extreme symphonic
4186,Crimson Sun,2,2001,Finland,Symphonic
4187,Crom Dubh,2,2003,United Kingdom,Black
4188,Crossbreed,2,1996,USA,Industrial
4189,Cryptal Darkness,2,1993,Australia,Gothic doom
4190,Cryptic Warning,2,2000,USA,Technical death
4191,Dahakara,2,2013,Turkey,Ambient
4192,Dakesis,2,2008,United Kingdom,Progressive power
4193,Dark Arena,2,2004,USA,Power
4194,Dead In The Dirt,2,2008,USA,Grindcore
4195,Dead Infection,2,1990,Poland,Deathgrind
4196,Dead River Runs Dry,2,2012,Australia,Black
4197,Deadlands,2,2010,USA,Us power
4198,Deadly Mosh,2,2008,Serbia,Thrash
4199,Deafening Silence,2,1997,France,Heavy
4200,Death Of Self,2,2008,USA,Grindcore
4201,Death Penalty,2,2013,,Doom
4202,Death Toll 80k,2,2005,Finland,Grindcore
4203,Deathrite,2,2010,Germany,Grindcore
4204,Defender,2,1984,Netherlands,Power
4205,Desolate Pathway,2,2013,United Kingdom,Epic doom
4206,Despair (SYR),2,2009,Syrian Arab Republic,Black
4207,Desperado,2,1988,USA,Heavy
4208,Despond,2,1995,France,Doom
4209,Deuil,2,2012,Belgium,Black
4210,Deus X Machina,2,2012,Argentina,Progressive
4211,Di'Anno,2,1983,United Kingdom,Hard rock
4212,Dialectic Soul,2,2000,Belarus,Symphonic black
4213,Dictator,2,2005,Cyprus,Black
4214,Dissension,2,2007,Canada,Melodic death
4215,Distaste,2,2000,Austria,Grindcore
4216,Doctor Livingstone,2,1998,France,Hardcore
4217,Doga,2,1989,Czech Republic,Thrash
4218,Doyle,2,2012,USA,Groove metal 
4219,Dr.X,2,2013,Spain,Heavy
4220,Dramatvm,2,2003,Mexico,Melodic death
4221,Dreamlost,2,1996,France,Progressive
4222,Dysrider,2,2014,Switzerland,Symphonic
4223,Dysylumn,2,2010,France,Progressive black
4224,E-Force,2,2001,Canada,Thrash
4225,Ebonillumini,2,2008,United Kingdom,Avantgarde black
4226,Edgedown,2,2008,Germany,Heavy
4227,Eeriness,2,1996,Switzerland,Heavy
4228,Ehnahre,2,2006,USA,Black
4229,Eibon la Furies,2,2005,United Kingdom,Gothic
4230,Elvira Madigan,2,1995,Sweden,Symphonic black
4231,Empires Of Eden,2,2008,Australia,Melodic power
4232,Encorion,2,2007,Netherlands,Viking folk
4233,Entheos (CAN),2,2011,Canada,Black
4234,Epistasis,2,2008,USA,Experimental black
4235,Eternal Reign,2,1997,Germany,Power
4236,Eternal Sorrow,2,1994,Brazil,Gothic doom
4237,Ethernity,2,2000,Belgium,Progressive power
4238,Exhausted Prayer,2,1997,USA,Progressive black
4239,Exiled,2,1997,USA,Power
4240,Felony,2,1992,Switzerland,Melodic heavy
4241,Filii Nigrantium Infernalium,2,1989,Portugal,Black
4242,Final Crusade,2,2011,Switzerland,Heavy
4243,Forces United,2,2013,Russian Federation,Power
4244,Fornicus,2,2013,USA,Black
4245,Foul Body Autopsy,2,2010,United Kingdom,Death
4246,Freitod,2,2005,Germany,Black
4247,Frightmare,2,2002,USA,Death
4248,Frozen Winds,2,2007,Cyprus,Black
4249,Funeral Whore,2,2006,Netherlands,Death
4250,Gateway To Selfdestruction,2,2013,Germany,Black
4251,Gehennah,2,1992,Sweden,Thrash
4252,Genocide Shrines,2,2011,Sri Lanka,Black
4253,Ghee-Yeh,2,2008,Chile,Heavy
4254,Ghost Voyage,2,2008,Finland,Death doom
4255,Goblin Hovel,2,2010,USA,Folk
4256,God Mother,2,2012,Sweden,Grindcore
4257,Gone Postal,2,2007,Iceland,Death
4258,Goodbye To Gravity,2,2011,Romania,Melodic metalcore
4259,Gothic Knights,2,1990,USA,Power
4260,Grave Upheaval,2,2008,Australia,Death
4261,Gravehill,2,2001,USA,Thrash
4262,Griffar,2,1997,France,Melodic black
4263,Gverr,2,2007,Albania,Progressive death
4264,Gypsyhawk,2,2008,USA,Heavy
4265,Hæthen,2,2009,USA,Black
4266,Haar,2,2008,United Kingdom,Atmospheric black
4267,Hadean,2,2012,USA,Progressive
4268,Haikai No Ku,2,2012,United Kingdom,Doom
4269,Heavydeath,2,2013,Sweden,Death doom
4270,Hegemone,2,2010,Poland,Black
4271,Hell Within,2,1998,USA,Metalcore
4272,Hemelbestormer,2,2012,Belgium,Post-metal
4273,Herald,2,2000,Estonia,Heavy
4274,Hourswill,2,2009,Portugal,Progressive
4275,House Of Low Culture,2,2000,USA,Drone doom
4276,Howling Syn,2,1998,Canada,Gothic
4277,Human Cull,2,2007,United Kingdom,Grindcore
4278,Hydra Vein,2,1987,United Kingdom,Thrash
4279,I Chaos,2,2009,Netherlands,Brutal death
4280,Iluminato,2,2010,Brazil,Gothic
4281,Implore,2,2013,Germany,Grindcore
4282,Inciter,2,2000,Croatia,Thrash
4283,Infinitum Obscure,2,2000,Mexico,Death
4284,Insane,2,1997,France,Power
4285,Iskra,2,2002,Canada,Black
4286,Johansson & Speckmann,2,2013,Sweden,Death
4287,Karmaflow,2,2013,Netherlands,Symphonic
4288,Karyn Crisis' Gospel Of The Witches,2,2009,USA,Doom
4289,Khaotika,2,2014,USA,Melodic black
4290,Killers (UK),2,1991,United Kingdom,Heavy
4291,King Fear,2,2011,Germany,Black
4292,King's-Evil,2,1989,Japan,Thrash
4293,Kingdragon,2,2006,Greece,Melodic heavy
4294,Kognitiv Tod,2,2014,USA,Black
4295,Kolp,2,2007,Hungary,Black
4296,Korum,2,1999,France,Death
4297,Kragens,2,2000,France,Heavy
4298,Krokmitën,2,1991,Canada,Experimental death
4299,Krokodil,2,2011,United Kingdom,Progressive sludge
4300,Kultika,2,2008,Romania,Black
4301,Landskap,2,2012,United Kingdom,Doom
4302,Last In Line,2,2012,USA,Heavy
4303,Legend (JE),2,1980,United Kingdom,Heavy
4304,Liquorworks,2,2006,Finland,Experimental progressive
4305,Lody Kong,2,2011,USA,Crossover thrash
4306,Lonely Kamel,2,2005,Norway,Stoner rock
4307,Looking For An Answer,2,1999,Spain,Grindcore
4308,Lunar Path,2,2006,Finland,Gothic
4309,Lunarium,2,2005,USA,Folk
4310,Malrun,2,2005,Denmark,Melodic hard rock
4311,Man Made Origin,2,2008,United Kingdom,Progressive
4312,Maniac Butcher,2,1992,Czech Republic,Black
4313,Marche Funèbre,2,2007,Belgium,Death
4314,Marseille,2,1976,United Kingdom,New wave of british heavy
4315,Mastermind,2,1986,USA,Progressive rock
4316,Masterstroke,2,2002,Finland,Heavy
4317,Means End,2,2011,Sweden,Progressive
4318,Mena Brinno,2,2006,USA,Gothic
4319,Mephistopheles,2,2004,Australia,Technical death
4320,Merkabah,2,2002,Canada,Heavy
4321,Methadone Skies,2,2009,Romania,Atmospheric sludge
4322,Moon (POL),2,1996,Poland,Black
4323,Mordbrand,2,2006,Sweden,Death
4324,Morgain,2,1995,Slovak Republic,Atmospheric doom
4325,Morian,2,2002,Finland,Gothic
4326,Myopia,2,2003,USA,Progressive
4327,Myrah,2,2005,Sweden,Gothic
4328,Mysto Dysto,2,1983,Netherlands,Speed
4329,N R C S S S T,2,2011,Lithuania,Atmospheric black
4330,N.I.L.,2,2004,USA,Black
4331,Naamah,2,1996,Poland,Gothic
4332,Nailed,2,2000,United Kingdom,Brutal death
4333,Nasty Idols,2,1987,Sweden,Heavy
4334,Natron,2,1992,Italy,Death
4335,Nebukadnezza,2,2002,United Kingdom,Death
4336,Necromancing The Stone,2,2014,USA,Melodic death
4337,Nerve End,2,2009,Finland,Alternative
4338,Next To None,2,2013,USA,Progressive
4339,Night Viper,2,2014,Sweden,Heavy
4340,Nightly Gale,2,1996,Poland,Black
4341,Noctum,2,2009,Sweden,Doom
4342,Non Serviam,2,1995,Sweden,Death
4343,North (USA),2,2005,USA,Post-metal
4344,Northern Plague,2,2009,Poland,Black
4345,NunFuckRitual,2,2006,Norway,Black
4346,Nycticorax,2,2003,Latvia,Black
4347,Oblivionized,2,2008,United Kingdom,Technical death
